epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2948,0.86446,2.44623,1.03548,0.78935,0.65725,0.70985,0.51282,0.9598,1.42961,1.06201,0.000367463,0.000367463,0.000367463
2,55.5446,0.82143,1.52592,1.01657,0.87079,0.70524,0.80398,0.5842,0.8608,1.07124,1.06316,0.000730492,0.000730492,0.000730492
3,80.6401,0.80913,1.23751,1.02066,0.95136,0.76977,0.89968,0.69488,0.82204,0.73022,1.05435,0.00108619,0.00108619,0.00108619
4,106.167,0.76451,0.99387,0.99284,0.89111,0.75627,0.93575,0.70264,0.83666,0.69666,1.12454,0.001078,0.001078,0.001078
5,131.575,0.7613,0.84032,0.9995,0.83987,0.8728,0.90921,0.68716,0.84761,0.63391,1.12435,0.001067,0.001067,0.001067
6,156.588,0.72881,0.7075,0.98611,0.86696,0.8289,0.93388,0.69184,0.80551,0.62583,1.08561,0.00105601,0.00105601,0.00105601
7,181.789,0.70656,0.64438,0.96836,0.92852,0.89074,0.96956,0.73916,0.79788,0.60507,1.09373,0.00104501,0.00104501,0.00104501
8,206.958,0.69073,0.59076,0.96241,0.9414,0.93143,0.97691,0.74968,0.75765,0.50545,1.06661,0.00103401,0.00103401,0.00103401
9,231.971,0.70714,0.53371,0.96698,0.96554,0.93785,0.97984,0.74888,0.78023,0.52467,1.06391,0.00102301,0.00102301,0.00102301
10,257.06,0.68427,0.52031,0.95551,0.87171,0.93731,0.97231,0.76099,0.74622,0.50207,1.05927,0.00101201,0.00101201,0.00101201
11,282.256,0.6963,0.51117,0.95839,0.97012,0.97372,0.99152,0.76656,0.77296,0.48328,1.0438,0.00100101,0.00100101,0.00100101
12,307.445,0.67245,0.48309,0.94928,0.94832,0.98197,0.99006,0.77153,0.77681,0.46641,1.07322,0.000990012,0.000990012,0.000990012
13,332.379,0.66147,0.47179,0.94612,0.97233,0.98057,0.99071,0.80954,0.7462,0.44338,1.03183,0.000979013,0.000979013,0.000979013
14,359.879,0.66329,0.45362,0.94444,0.98531,0.97355,0.99146,0.79012,0.78204,0.44894,1.0508,0.000968014,0.000968014,0.000968014
15,388.098,0.66208,0.44639,0.94299,0.95714,0.98224,0.99181,0.79116,0.76063,0.44272,1.06193,0.000957015,0.000957015,0.000957015
16,414.707,0.64033,0.42545,0.93311,0.98101,0.97905,0.99276,0.79439,0.75058,0.41999,1.04116,0.000946016,0.000946016,0.000946016
17,441.627,0.63721,0.4339,0.93515,0.97602,0.96547,0.9873,0.78815,0.74985,0.43031,1.06584,0.000935018,0.000935018,0.000935018
18,468.188,0.63339,0.41532,0.93713,0.93128,0.95443,0.97547,0.76884,0.75727,0.41615,1.05183,0.000924019,0.000924019,0.000924019
19,495.709,0.64664,0.41053,0.93822,0.95386,0.99127,0.9917,0.77662,0.76425,0.42091,1.05007,0.00091302,0.00091302,0.00091302
20,525.813,0.6229,0.39206,0.93273,0.94825,0.97445,0.99119,0.78158,0.74232,0.41546,1.05137,0.000902021,0.000902021,0.000902021
21,553.675,0.63445,0.39438,0.93116,0.96487,0.98391,0.99258,0.79331,0.75231,0.40457,1.08329,0.000891022,0.000891022,0.000891022
22,580.971,0.61595,0.38465,0.93156,0.96342,0.95778,0.98539,0.79978,0.73645,0.40868,1.03647,0.000880023,0.000880023,0.000880023
23,607.565,0.62355,0.37937,0.92736,0.96021,0.96325,0.98729,0.79739,0.73529,0.39733,1.05661,0.000869024,0.000869024,0.000869024
24,634.37,0.61541,0.37299,0.93105,0.97614,0.97881,0.99237,0.79295,0.73972,0.38671,1.06541,0.000858025,0.000858025,0.000858025
25,661.612,0.60364,0.36386,0.92461,0.97453,0.97917,0.99115,0.80626,0.72928,0.37368,1.0605,0.000847026,0.000847026,0.000847026
26,688.791,0.60657,0.3606,0.92256,0.96188,0.98115,0.99029,0.80224,0.74136,0.36976,1.0731,0.000836027,0.000836027,0.000836027
27,715.395,0.60815,0.36026,0.92426,0.96254,0.97088,0.99036,0.79154,0.76666,0.39231,1.08557,0.000825029,0.000825029,0.000825029
28,742.449,0.59896,0.35592,0.92495,0.97813,0.98134,0.99139,0.81468,0.7343,0.38154,1.05285,0.00081403,0.00081403,0.00081403
29,773.745,0.60597,0.35625,0.91923,0.9741,0.96315,0.98892,0.7996,0.74768,0.38315,1.09282,0.000803031,0.000803031,0.000803031
30,811.239,0.5953,0.3516,0.91955,0.97289,0.98623,0.99263,0.8238,0.71762,0.37031,1.0631,0.000792032,0.000792032,0.000792032
31,850.35,0.59108,0.34571,0.91783,0.97772,0.98821,0.99218,0.80218,0.75267,0.3679,1.08876,0.000781033,0.000781033,0.000781033
32,898.932,0.59198,0.34491,0.91867,0.97333,0.97768,0.99232,0.82465,0.71787,0.36536,1.06104,0.000770034,0.000770034,0.000770034
33,941.341,0.58419,0.34124,0.91939,0.97719,0.96268,0.99047,0.8053,0.72338,0.37403,1.06655,0.000759035,0.000759035,0.000759035
34,982.724,0.58367,0.33904,0.92204,0.98011,0.98067,0.99176,0.82484,0.71725,0.3598,1.063,0.000748036,0.000748036,0.000748036
35,1024.11,0.58728,0.33401,0.91714,0.97477,0.98789,0.99141,0.81738,0.729,0.37097,1.0695,0.000737037,0.000737037,0.000737037
36,1064.59,0.57972,0.33121,0.91946,0.96877,0.98436,0.99334,0.82365,0.71561,0.38263,1.05945,0.000726038,0.000726038,0.000726038
