epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1291.71,0.59888,0.32107,0.93776,0.98488,0.98587,0.99325,0.87266,0.59252,0.31004,0.94922,0.000660045,0.000660045,0.000660045
43,1322.33,0.5994,0.32016,0.93877,0.98767,0.98992,0.99398,0.86239,0.59989,0.31121,0.94793,0.000649046,0.000649046,0.000649046
44,1352.89,0.60117,0.32475,0.94153,0.98619,0.98906,0.99377,0.87454,0.59379,0.31061,0.95155,0.000638047,0.000638047,0.000638047
45,1383.5,0.59787,0.31803,0.93115,0.98038,0.99186,0.99347,0.87255,0.59766,0.31295,0.9453,0.000627048,0.000627048,0.000627048
46,1413.95,0.5955,0.31399,0.93547,0.98291,0.99094,0.99169,0.86602,0.59372,0.31056,0.95129,0.000616049,0.000616049,0.000616049
47,1444.99,0.59412,0.32031,0.94045,0.98569,0.98995,0.99358,0.85596,0.5961,0.30719,0.94677,0.000605051,0.000605051,0.000605051
48,1476.44,0.58747,0.31178,0.93198,0.98893,0.98978,0.9934,0.86155,0.59972,0.30306,0.94721,0.000594052,0.000594052,0.000594052
49,1507.42,0.58778,0.30846,0.92587,0.98094,0.99133,0.99336,0.86875,0.59874,0.31208,0.94387,0.000583053,0.000583053,0.000583053
50,1538.18,0.59287,0.30863,0.93341,0.99035,0.98904,0.99305,0.86874,0.60445,0.30728,0.95101,0.000572054,0.000572054,0.000572054
51,1569.09,0.58399,0.30492,0.93131,0.98743,0.99291,0.99239,0.87092,0.59715,0.30046,0.94879,0.000561055,0.000561055,0.000561055
52,1599.73,0.58378,0.30383,0.92753,0.98925,0.98694,0.99288,0.87749,0.60065,0.30773,0.94688,0.000550056,0.000550056,0.000550056
53,1630.71,0.57195,0.30069,0.92548,0.98721,0.98925,0.99237,0.86933,0.59964,0.30426,0.95324,0.000539057,0.000539057,0.000539057
54,1661.84,0.5677,0.29378,0.92511,0.9864,0.98808,0.99117,0.87746,0.58779,0.30415,0.94678,0.000528058,0.000528058,0.000528058
55,1692.94,0.57079,0.29733,0.92132,0.98631,0.99223,0.99385,0.88197,0.58714,0.29333,0.9411,0.000517059,0.000517059,0.000517059
56,1723.7,0.56857,0.29451,0.92254,0.98392,0.99131,0.99205,0.86791,0.58985,0.29612,0.94276,0.00050606,0.00050606,0.00050606
57,1754.56,0.57241,0.2927,0.92197,0.98384,0.9918,0.99224,0.8702,0.5912,0.29557,0.94726,0.000495062,0.000495062,0.000495062
58,1786.04,0.57002,0.28804,0.92314,0.98571,0.99027,0.99276,0.88183,0.57653,0.29443,0.94272,0.000484063,0.000484063,0.000484063
59,1816.73,0.55501,0.2821,0.91587,0.98655,0.99125,0.99219,0.8808,0.58491,0.30102,0.94902,0.000473064,0.000473064,0.000473064
60,1847.95,0.56731,0.28894,0.92156,0.98271,0.99226,0.99119,0.87319,0.60398,0.30214,0.96378,0.000462065,0.000462065,0.000462065
61,1878.95,0.5601,0.28545,0.91711,0.9861,0.98782,0.99366,0.87561,0.59129,0.31071,0.96024,0.000451066,0.000451066,0.000451066
62,1910,0.55363,0.28506,0.9204,0.98736,0.98982,0.99285,0.8756,0.59524,0.29833,0.95667,0.000440067,0.000440067,0.000440067
63,1940.61,0.55672,0.2822,0.9144,0.98622,0.99227,0.9933,0.88363,0.58473,0.28963,0.94264,0.000429068,0.000429068,0.000429068
64,1971.5,0.54694,0.27818,0.91366,0.97914,0.99241,0.9923,0.88207,0.58666,0.29284,0.94505,0.000418069,0.000418069,0.000418069
65,2002.28,0.54259,0.27362,0.91036,0.98345,0.99002,0.99286,0.87347,0.5959,0.29493,0.95697,0.00040707,0.00040707,0.00040707
66,2033.4,0.54479,0.275,0.91861,0.98563,0.99308,0.99173,0.8734,0.59662,0.29121,0.95868,0.000396071,0.000396071,0.000396071
67,2064.52,0.54229,0.27357,0.91084,0.98428,0.99535,0.99305,0.87873,0.59172,0.29402,0.95117,0.000385073,0.000385073,0.000385073
68,2095.28,0.54091,0.27059,0.91004,0.98889,0.991,0.99284,0.88223,0.59091,0.28982,0.94898,0.000374074,0.000374074,0.000374074
69,2126.05,0.53631,0.26998,0.91031,0.98364,0.99316,0.99172,0.88313,0.58343,0.28533,0.94785,0.000363075,0.000363075,0.000363075
70,2156.76,0.53126,0.26721,0.90555,0.9867,0.99256,0.99374,0.8872,0.57347,0.28009,0.93967,0.000352076,0.000352076,0.000352076
71,2187.69,0.53313,0.26402,0.90745,0.98858,0.99309,0.99304,0.87677,0.58958,0.28453,0.94781,0.000341077,0.000341077,0.000341077
72,2218.47,0.5362,0.26623,0.9104,0.98364,0.99516,0.99319,0.8815,0.5835,0.28119,0.9408,0.000330078,0.000330078,0.000330078
73,2249.55,0.52956,0.26322,0.91104,0.98207,0.99452,0.99268,0.88492,0.57287,0.2807,0.93913,0.000319079,0.000319079,0.000319079
74,2281.34,0.52068,0.25845,0.90597,0.98316,0.99381,0.9928,0.88207,0.57501,0.28221,0.93787,0.00030808,0.00030808,0.00030808
75,2312.33,0.52234,0.25908,0.90342,0.98468,0.99423,0.9912,0.8834,0.57183,0.28129,0.93919,0.000297081,0.000297081,0.000297081
76,2342.71,0.51243,0.26031,0.9053,0.98029,0.995,0.99342,0.89077,0.56996,0.28082,0.93714,0.000286083,0.000286083,0.000286083
77,2373.38,0.51442,0.25652,0.89634,0.98886,0.99414,0.99362,0.88734,0.57404,0.27724,0.94243,0.000275084,0.000275084,0.000275084
78,2404.65,0.50916,0.25325,0.89513,0.98265,0.99431,0.99123,0.88885,0.56698,0.27955,0.94447,0.000264085,0.000264085,0.000264085
79,2435.4,0.50853,0.25319,0.89757,0.98071,0.99411,0.99252,0.88614,0.57064,0.27492,0.9411,0.000253086,0.000253086,0.000253086
