epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1917,0.95355,2.50724,1.0908,0.80124,0.79152,0.81205,0.60258,0.87299,1.37176,0.99004,0.000367669,0.000367669,0.000367669
2,81.0115,0.88386,1.50341,1.06337,0.85977,0.89122,0.92728,0.67993,0.85026,0.9895,1.10196,0.000730696,0.000730696,0.000730696
3,128.512,0.86726,1.2424,1.06417,0.81501,0.88554,0.91647,0.64253,0.91174,1.06625,1.13021,0.00108639,0.00108639,0.00108639
4,173.419,0.84463,1.02908,1.05803,0.95164,0.90763,0.96273,0.73305,0.80339,0.73139,1.07332,0.001078,0.001078,0.001078
5,213.83,0.82772,0.84111,1.04505,0.96435,0.97313,0.9828,0.74784,0.79137,0.84978,1.06845,0.001067,0.001067,0.001067
6,254.791,0.80879,0.71856,1.03841,0.95187,0.95477,0.97779,0.72535,0.83097,0.90298,1.09802,0.00105601,0.00105601,0.00105601
7,295.325,0.80278,0.68226,1.03656,0.95028,0.96929,0.98382,0.75164,0.76995,0.66434,1.05307,0.00104501,0.00104501,0.00104501
8,335.926,0.79911,0.63074,1.0245,0.97635,0.97157,0.98947,0.70731,0.85579,0.62561,1.08856,0.00103401,0.00103401,0.00103401
9,375.877,0.82839,0.6083,1.06121,0.98398,0.97535,0.9891,0.76007,0.7908,0.5345,1.06194,0.00102301,0.00102301,0.00102301
10,416.626,0.80142,0.57414,1.0307,0.96873,0.98161,0.99138,0.78244,0.76646,0.5445,1.04517,0.00101201,0.00101201,0.00101201
11,460.037,0.78803,0.54136,1.02675,0.96602,0.98597,0.99002,0.80242,0.7144,0.48317,1.01004,0.00100101,0.00100101,0.00100101
12,502.8,0.77824,0.53756,1.02617,0.97818,0.9842,0.99082,0.80608,0.70963,0.47181,1.01523,0.000990012,0.000990012,0.000990012
